Timestamp,Which course are you enrolled in?,How did you hear about County College of Morris? [CCM Web site],How did you hear about County College of Morris? [Social Media],How did you hear about County College of Morris? [Community Event],How did you hear about County College of Morris? [Family member or friend],How did you hear about County College of Morris? [Current CCM student],How did you hear about County College of Morris? [CCM Alumni],How did you hear about County College of Morris? [High School Teacher],How did you hear about County College of Morris? [High School Counselor],How did you hear about County College of Morris? [In-app advertisement],How did you hear about County College of Morris? [Employer],How did you hear about County College of Morris? [Billboard],How did you hear about County College of Morris? [Television],How did you hear about County College of Morris? [Radio],How did you hear about County College of Morris? [Other],To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],To what extent did the following impact your decision to attend County College of Morris? [Location/convenience],To what extent did the following impact your decision to attend County College of Morris? [Choice of programs],To what extent did the following impact your decision to attend County College of Morris? [Online offerings],To what extent did the following impact your decision to attend County College of Morris? [Family/friend referral],To what extent did the following impact your decision to attend County College of Morris? [Faculty/staff],To what extent did the following impact your decision to attend County College of Morris? [College reputation],To what extent did the following impact your decision to attend County College of Morris? [Financial Aid],To what extent did the following impact your decision to attend County College of Morris? [Scholarships],To what extent did the following impact your decision to attend County College of Morris? [Small class sizes],To what extent did the following impact your decision to attend County College of Morris? [Extra-curricular opportunities],To what extent did the following impact your decision to attend County College of Morris? [Accepted my transfer credits],To what extent did the following impact your decision to attend County College of Morris? [Negative experience at another college],To what extent did the following impact your decision to attend County College of Morris? [NJ Stars Program],To what extent did the following impact your decision to attend County College of Morris? [Ability to transfer CCM credits to a 4-year school],To what extent did the following impact your decision to attend County College of Morris? [Get college credit while in high school],"Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Open House]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Instant Decision Day]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [On-Campus Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Virtual Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Women Who Dare]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Regional College Fair]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [HS Sharetime Information Session]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Challenger Program]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [CyberSecurity Information Protection Program Participation ]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Information Session at my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit with my high school]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Campus Visit (individual)]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Workforce Development class]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Corporate Training]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Teen Arts Festival]","Prior to applying to college, did you participate in any of the following events or activities at the County College of Morris and/or with the Department of Information Technologies, if at all? [Summer camp at CCM]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Middle/High school computing related club],"To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming)]",To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Afterschool computing-related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Summer computing related camp/program],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [An AP computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [A dual enrollment computing class],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend influence],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Family or friend working in the computing field],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [High school teacher or guidance counselor],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Employer influence],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Current CCM student],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Experience at work],To what extent did the following activities or experience impact your decision to enroll in an computing course at CCM? [Other],What degree program are you currently enrolled in?,What motivated you to seek a computing degree/certificate at CCM? (check all that apply),Did you receive information about the CCM computing programs from any of the following sources? [High school guidance counselor],Did you receive information about the CCM computing programs from any of the following sources? [High School Teacher],Did you receive information about the CCM computing programs from any of the following sources? [CCM Information Technologies Website],Did you receive information about the CCM computing programs from any of the following sources? [CCM Admissions],Did you receive information about the CCM computing programs from any of the following sources? [CCM advisor/counselor],Did you receive information about the CCM computing programs from any of the following sources? [Employer],Did you receive information about the CCM computing programs from any of the following sources? [CCM Workforce Development],Did you receive information about the CCM computing programs from any of the following sources? [NJ Workforce Development Program],Did you receive information about the CCM computing programs from any of the following sources? [Other],"Was a computing major/certificate your first choice, or did you change majors from a different CCM program? If you changed majors, indicate what your first major was.","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you in taking more computing classes?",Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
9/23/2020 13:47:15,CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science","To get a job in the computing field, Professional Development, To keep current in tech industry",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nursing,,,Woman,Black/African American,21-24
9/23/2020 14:31:06,CMP 128 Computer Science I,Don't recall,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,N/A,High Impact,High Impact,High Impact,N/A,N/A,Some Impact,N/A,N/A,N/A,Some Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,N/A,Some Impact,N/A,N/A,N/A,High Impact,N/A,Some Impact,N/A,N/A,High Impact,N/A,N/A,EDAM,,,,,,,,,,,,3,"It's fun, but I cannot see myself doing this in the future.",Woman,White/Caucasian,18 and younger
9/23/2020 14:33:35,CMP 128 Computer Science I,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,3,I don't feel that computing is for me but this class is definitely a good way to explore whether or not I like it.,Woman,Hispanic or Latino,18 and younger
9/23/2020 14:33:48,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,N/A,N/A,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,N/A,N/A,High Impact,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,share time (EDAM),,,,,,,,,,,,4,"I am interested in learning the information these courses have to offer, but this isn't  the only thing I would want to learn for the job I want in the future.",Man,Choose not to reply,18 and younger
9/23/2020 14:33:52,CMP 128 Computer Science I,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,N/A,High Impact,N/A,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,EDAM,,,,,,,,,,,,4,"It's fun to do, but its not exactly in line with what I'm going to school for right now, but will be helpful in the future",Man,White/Caucasian,18 and younger
9/23/2020 14:35:17,CMP 128 Computer Science I,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,N/A,N/A,High Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,ShareTime CSIP Program,"To get a job in the computing field, Transfer to bachelor's level program, Transfer credits back to HS degree (ShareTime, Challenger Program)",Yes,Yes,No,No,No,No,No,No,No,First Choice,,,Man,Black/African American,18 and younger
9/23/2020 14:35:49,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,N/A,No Impact,Some Impact,No Impact,Some Impact,N/A,Some Impact,N/A,N/A,No Impact,No Impact,N/A,N/A,N/A,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Challenger Program,"Transfer to bachelor's level program, Transfer credits back to HS degree (ShareTime, Challenger Program)",Yes,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
9/23/2020 14:37:37,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,Don't recall,No,Yes,No,No,Yes,High Impact,N/A,High Impact,N/A,High Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Impact,High Impact,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,N/A,High Impact,Challenger Program,"Transfer credits back to HS degree (ShareTime, Challenger Program), Career Advancement",No,No,No,No,No,No,No,No,Yes,Engineering,,,Man,Hispanic or Latino,18 and younger
9/23/2020 15:19:18,CMP 128 Computer Science I,Don't recall,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,N/A,N/A,N/A,Some Impact,Some Impact,Yes,Not Sure,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,N/A,N/A,High Impact,N/A,Some Impact,N/A,N/A,High Impact,N/A,N/A,N/A,Some Impact,N/A,N/A,"CIS Game Development Option, Applied Associate of Science",To get a job in the computing field,No,No,No,Don't recall,No,No,No,No,Yes,First Choice,,,Non-binary,White/Caucasian,21-24
9/23/2020 15:38:35,CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Impact,No Impact,N/A,N/A,N/A,N/A,N/A,Undecided,,,,,,,,,,,,5,They're classes are helpful and the professors put in a lot of effort to make sure the class understands it.,Man,Hispanic or Latino,19-20
9/23/2020 15:38:59,CMP 131 Fundamentals of Programming (Python),Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,"Information Technology, Applied Associate of Science","To get a job in the computing field, Transfer to bachelor's level program, To keep current in tech industry, Financial",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,First Choice,,,Man,Asian,19-20
9/23/2020 15:39:06,CMP 131 Fundamentals of Programming (Python),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Not Sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Information Technology, Applied Associate of Science","To get a job in the computing field, Transfer to bachelor's level program, Transfer credits back to HS degree (ShareTime, Challenger Program), Career Advancement, Career Change, Professional Development, Job Displacement, Relocation, To keep current in tech industry, IT Industry Certifications, Financial, Personal Enrichment, I like IT",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Prefer not to say,"Hispanic or Latino, Choose not to reply",25-34
